word,avg
haste,5.39750806792917
hasty,4.726087527065589
hatch,4.029943094951265
hater,5.486107120439381
haunt,4.954335644053738
haute,5.278798676104679
haven,4.69032434547698
havoc,4.20119105266454
hazel,4.543328973262823
heady,4.73780514593487
heard,5.252432576997799
heart,5.612255574516925
heath,4.526040225204153
heave,4.3160729176733525
heavy,4.408547601706748
hedge,4.078806103459822
hefty,4.265644830679
heist,5.296131550132681
helix,4.2381028242530485
hello,4.324189689253454
hence,4.495473503163803
heron,5.17036754890096
hilly,3.8687219422279875
hinge,4.761239313826366
hippo,3.5843139840385883
hippy,3.376242742312364
hitch,3.811815692769898
hoard,5.0386220387452845
hobby,3.281986159653781
hoist,5.0772476511068145
holly,3.9101576161667673
homer,4.932217830089237
honey,4.839492329773344
honor,4.314924800352557
horde,5.12468339270444
horny,4.743293286051099
horse,5.4220795655310425
hotel,5.266941799498856
hotly,4.6714785977436515
hound,4.457060600818345
house,5.099504549481004
hovel,4.61731136301477
hover,4.675882852847594
howdy,3.775766631949045
human,4.382341632412204
humid,4.061882435443575
humor,4.521240194484212
humph,3.1003659099396854
humus,3.3012130514549707
hunch,3.560872291867465
hunky,3.7869013377455745
hurry,3.8575350455031754
husky,3.793130959279624
hussy,3.604226597153439
hutch,3.6301360272761567
hydro,4.325482530815186
hyena,4.7317751471147895
hymen,4.34841210001949
hyper,4.5804635889347525
icily,3.8252643391689563
icing,3.5346616368981554
ideal,5.017781796453383
idiom,3.5662985891338113
idiot,4.067299361256879
idler,5.057742471545853
idyll,3.6646717642065028
igloo,3.7962506069326367
iliac,4.23161364506599
image,4.823458456421818
imbue,4.320314868952469
impel,4.644168604743756
imply,4.042352386730608
inane,4.718147277802151
inbox,3.5861488975843563
incur,4.647996164687084
index,4.06741339293326
inept,4.881241606725084
inert,5.3393790395597085
infer,4.770807841642568
ingot,4.598903715225826
inlay,4.775007912977564
inlet,5.322781479078947
inner,4.516139125362898
input,4.4564904223384385
inter,5.305467880485705
intro,4.964773944801767
ionic,3.983889220127219
irate,5.8327988809409055
irony,4.937719007358796
islet,5.305513111978625
issue,4.224240704138245
itchy,4.127125491700651
ivory,4.290861790717266
jaunt,4.338740142067001
jazzy,2.308791676079567
jelly,3.4478397868018673
jerky,3.771734102542424
jetty,3.4683513118286573
jewel,3.5564576559351453
jiffy,2.5072629860746565
joint,4.404332053028201
joist,4.481520872356425
joker,4.110160220146293
jolly,3.2976049864821473
joust,4.258190319358529
judge,3.7686421693446115
juice,4.333840116690523
juicy,3.686080207616291
jumbo,3.1430500216654784
jumpy,3.058014443788169
junta,4.058748538380428
junto,3.9645171043369034
juror,3.594972134220307
kappa,2.8412886164720095
karma,3.8481662606798768
kayak,2.9283707722051444
kebab,3.646584557692553
khaki,3.4610194487432584
kinky,3.3001224819764277
kiosk,3.7557089843716582
kitty,3.6257417167691397
knack,3.5957620237964782
knave,4.432629026152327
knead,4.567323325133704
kneed,4.017927856635522
kneel,4.3214001213840865
knelt,4.774335719918662
knife,4.346939327384564
knock,3.4167843530415056
knoll,3.8414716974763614
known,3.1528791146502533
koala,4.162706480101109
krill,4.091848334353658
label,4.541008533922569
labor,5.071936220395836
laden,5.314855326196402
ladle,4.740915250615943
lager,5.336683560265131
lance,5.51785934978482
lanky,4.4604165554042385
lapel,4.642202042358778
lapse,5.430417867523896
large,5.444680674047587
larva,4.086665156265124
lasso,4.464505758228449
latch,4.890983493144795
later,5.707287214774776
lathe,5.396170711055798
latte,5.022903446159105
laugh,4.55898754641526
layer,5.361032881888454
leach,5.176161055494278
leafy,4.805725245616868
leaky,4.763763761759912
leant,5.683771188478657
leapt,5.417108401326202
learn,5.652071208685768
lease,5.247558223026975
leash,5.359286242106589
least,5.751562008954047
leave,4.591125074661629
ledge,4.345831511459033
leech,4.414767597232172
leery,4.660633373264601
lefty,4.54556524029412
legal,4.468395673820234
leggy,3.7977879115394613
lemon,4.903975085562449
lemur,4.907740541803943
leper,4.694848087714537
level,3.62658082533416
lever,4.368246624343543
libel,4.3573917634917505
liege,4.618285618402422
light,4.474975770807641
liken,4.8196484869207445
lilac,4.280282297920002
limbo,4.216790354793333
limit,4.073692475515363
linen,4.5922675094294965
liner,5.401809933568491
lingo,4.577223810309099
lipid,3.772803513441927
lithe,5.174631936858398
liver,4.86546728900629
livid,3.46886799291156
llama,3.5431279334228987
loamy,4.767835547011721
